,sex,row_number,liters_drunk,age,drink,check_number,label
44,0,18.0,1.0,60,Water,4629,0
45,0,96.0,3.0,80,Beerbeer,1279,0
46,0,89.0,3.0,54,Beerbeer,567,1
47,0,33.0,1.0,66,Strong beer,3628,1
48,1,31.0,0.0,53,Fanta,9976,0
49,0,30.0,3.0,75,Fanta,2632,0
50,1,35.0,5.0,68,Strong beer,1230,1
51,1,95.0,2.0,29,Water,85,0
52,1,53.0,5.0,38,Fanta,5084,1
53,1,95.0,1.0,78,Beerbeer,3003,1
54,1,90.0,2.4767078189300413,23,Bugbeer,2593,0
55,1,58.0,2.0,67,Beerbeer,3953,0
56,1,33.0,4.0,40,Strong beer,6224,1
57,1,13.0,5.0,76,Fanta,8053,0
58,1,74.0,0.0,61,Beerbeer,5697,1
59,1,64.0,2.0,30,Fanta,3468,1
60,1,65.0,4.0,17,Water,6361,0
61,1,55.0,1.0,27,Fanta,6532,1
62,0,20.0,5.0,72,Water,8357,0
63,0,29.0,1.0,70,Cola,8335,0
64,0,78.0,4.0,43,Water,8632,0
65,1,33.0,4.0,33,Beerbeer,2025,1
66,1,39.0,5.0,27,Fanta,3213,0
67,0,88.0,2.0,47,Bugbeer,9372,0
68,1,26.0,4.0,41,Beerbeer,9127,1
69,1,77.0,5.0,80,Fanta,7205,1
70,1,15.0,5.0,29,Beerbeer,123,1
71,0,3.0,0.0,64,Water,6824,1
72,0,56.0,0.0,43,Beerbeer,7045,1
73,0,48.0,2.0,16,Fanta,6760,1
74,1,47.0,1.0,14,Water,3086,0
75,1,71.0,4.0,27,Bugbeer,4139,1
76,0,96.0,2.4767078189300413,20,Cola,7933,1
77,1,79.0,4.0,80,Strong beer,5563,0
78,0,40.0,3.0,74,Strong beer,9401,0
79,1,48.0,1.0,20,Cola,1486,1
80,1,78.0,4.0,28,Beerbeer,2855,1
81,1,67.0,1.0,31,Cola,2676,1
82,1,13.0,4.0,67,Cola,7858,1
83,1,89.0,1.0,41,Cola,5555,0
84,1,39.0,5.0,40,Fanta,4056,0
85,0,73.0,1.0,12,Cola,2453,0
86,1,100.0,0.0,42,Fanta,5624,1
87,1,14.0,3.0,71,Strong beer,2121,0
88,1,4.0,4.0,46,Bugbeer,2473,1
89,0,27.0,3.0,40,Strong beer,5953,0
90,0,0.0,2.0,48,Fanta,639,1
91,0,96.0,4.0,11,Fanta,9903,1
92,1,53.0,1.0,71,Water,162,0
93,1,2.0,3.0,31,Water,6112,1
94,0,35.0,4.0,28,Bugbeer,3139,1
95,1,19.0,3.0,76,Strong beer,4709,0
96,0,14.0,1.0,16,Fanta,5079,1
97,0,72.0,3.0,13,Water,5808,1
98,1,79.0,0.0,63,Strong beer,5989,0
99,0,58.0,0.0,71,Cola,8066,0
100,0,100.0,2.4767078189300413,72,Water,2154,0
101,0,26.0,4.0,49,Beerbeer,9388,1
102,1,30.0,1.0,24,Strong beer,3260,1
103,1,88.0,3.0,77,Fanta,9580,0
104,1,27.0,5.0,26,Strong beer,3944,1
105,1,65.0,4.0,44,Bugbeer,1652,1
106,0,0.0,1.0,46,Cola,830,0
107,1,77.0,3.0,11,Water,4520,1
108,1,48.0,3.0,63,Bugbeer,4408,0
109,0,83.0,5.0,13,Water,8163,1
110,0,29.0,2.4767078189300413,63,Fanta,2608,0
111,1,87.0,2.0,34,Bugbeer,745,1
112,0,100.0,3.0,74,Cola,5595,0
113,1,100.0,5.0,31,Cola,2294,1
114,0,42.0,2.0,28,Water,2595,0
115,0,70.0,3.0,58,Fanta,5902,1
116,1,7.0,2.0,15,Cola,4800,1
117,0,8.0,0.0,45,Water,9859,1
118,0,96.0,2.0,28,Water,7648,0
119,0,23.0,5.0,72,Strong beer,3011,1
120,0,16.0,2.0,28,Bugbeer,6912,0
121,1,44.0,4.0,38,Cola,937,0
122,0,93.0,1.0,45,Cola,9303,0
123,0,16.0,3.0,63,Strong beer,3750,1
124,1,9.0,5.0,27,Strong beer,2367,1
125,1,9.0,0.0,70,Water,7185,1
126,0,45.0,2.0,49,Strong beer,7959,1
127,0,30.0,5.0,43,Fanta,2546,1
128,1,17.0,0.0,80,Cola,2193,0
129,0,9.0,3.0,80,Strong beer,7851,1
130,0,98.0,2.4767078189300413,53,Cola,1411,1
131,1,77.0,4.0,70,Cola,907,0
132,0,27.0,2.0,47,Water,8777,1
133,0,91.0,4.0,65,Fanta,8738,0
134,0,24.0,0.0,57,Strong beer,6615,1
135,1,41.0,5.0,17,Fanta,4945,1
136,1,91.0,1.0,68,Fanta,9076,0
137,1,12.0,0.0,30,Beerbeer,3502,0
138,0,82.0,4.0,76,Beerbeer,5950,1
139,0,8.0,2.0,18,Cola,9518,1
140,1,94.0,5.0,55,Bugbeer,5689,1
141,1,59.0,1.0,76,Cola,2048,0
142,1,23.0,4.0,24,Strong beer,8392,1
143,0,70.0,2.4767078189300413,18,Water,4303,0
144,0,2.0,1.0,49,Beerbeer,2561,0
145,0,100.0,2.4767078189300413,31,Bugbeer,3639,0
146,0,85.0,1.0,19,Water,5586,0
147,1,43.0,2.0,77,Bugbeer,7009,1
148,1,81.0,5.0,62,Water,8532,0
149,1,86.0,3.0,17,Water,9526,0
150,0,50.0,4.0,68,Water,8961,1
151,1,64.0,0.0,55,Water,3133,1
152,1,20.0,0.0,68,Strong beer,3653,1
153,1,4.0,4.0,63,Cola,4122,1
154,0,89.0,4.0,51,Strong beer,4605,1
155,0,35.0,3.0,45,Cola,341,1
156,0,7.0,2.0,69,Strong beer,9467,0
157,0,86.0,4.0,34,Strong beer,223,1
158,0,14.0,5.0,45,Bugbeer,3641,1
159,0,64.0,3.0,62,Cola,8099,0
160,0,42.0,1.0,64,Fanta,1160,0
161,0,57.0,3.0,23,Strong beer,7139,1
162,0,75.0,0.0,18,Cola,7807,1
163,1,95.0,4.0,24,Bugbeer,3321,1
164,1,54.0,2.0,11,Fanta,31,1
165,1,64.0,0.0,22,Strong beer,8879,1
166,0,36.0,0.0,22,Bugbeer,1165,0
167,0,64.0,1.0,23,Fanta,1699,0
168,1,72.0,3.0,64,Water,1988,0
169,1,42.0,0.0,47,Bugbeer,4879,1
170,1,55.0,4.0,62,Cola,4386,0
171,0,95.0,0.0,14,Water,4529,1
172,0,94.0,4.0,52,Strong beer,9452,0
173,0,31.0,0.0,62,Cola,7612,0
174,1,99.0,0.0,22,Cola,562,1
175,0,66.0,2.0,69,Fanta,9291,1
176,0,22.0,0.0,79,Bugbeer,4102,1
177,1,84.0,0.0,72,Strong beer,9249,1
178,0,93.0,0.0,25,Strong beer,8858,0
179,1,97.0,5.0,38,Fanta,8872,0
180,0,62.0,5.0,58,Bugbeer,15,1
181,0,74.0,3.0,78,Water,5352,0
182,1,87.0,1.0,49,Bugbeer,9201,1
183,0,77.0,4.0,16,Fanta,3619,1
184,1,79.0,0.0,62,Bugbeer,2814,0
185,1,34.0,3.0,30,Water,4853,0
186,0,81.0,0.0,45,Beerbeer,4028,1
187,0,16.0,5.0,43,Bugbeer,7221,1
188,1,35.0,3.0,38,Bugbeer,1379,1
189,0,4.0,4.0,70,Water,7259,1
190,0,7.0,5.0,47,Bugbeer,4854,1
191,0,6.0,1.0,27,Water,6746,1
192,1,4.0,3.0,51,Water,5834,0
193,0,2.0,1.0,25,Cola,6826,1
194,1,42.0,4.0,48,Beerbeer,3698,1
195,0,62.0,0.0,11,Water,4676,1
196,0,27.0,0.0,48,Fanta,4673,1
197,0,93.0,1.0,44,Bugbeer,8377,1
198,0,69.0,5.0,61,Strong beer,4076,1
199,0,38.0,3.0,26,Bugbeer,4980,0
200,1,96.0,2.0,74,Water,426,0
201,1,50.0,3.0,73,Beerbeer,4204,0
202,0,67.0,0.0,61,Bugbeer,7754,1
203,0,78.0,2.4767078189300413,79,Strong beer,8091,0
204,0,74.0,5.0,51,Strong beer,4588,0
205,0,20.0,0.0,66,Strong beer,1919,1
206,1,42.0,0.0,18,Fanta,6891,0
207,0,17.0,5.0,34,Cola,4448,0
208,0,24.0,4.0,53,Bugbeer,2022,0
209,0,52.0,5.0,24,Water,1925,1
210,1,70.0,0.0,72,Strong beer,4626,1
211,0,65.0,1.0,42,Cola,2145,0
212,0,52.0,2.4767078189300413,15,Water,4201,1
213,1,96.0,2.0,41,Strong beer,7376,0
214,0,29.0,0.0,64,Strong beer,316,1
215,1,42.0,2.0,45,Beerbeer,5432,0
216,0,76.0,1.0,24,Fanta,960,0
217,1,94.0,2.4767078189300413,61,Fanta,3715,0
218,1,80.0,1.0,42,Bugbeer,2203,1
219,0,61.0,2.4767078189300413,48,Water,5479,0
220,1,53.0,2.4767078189300413,29,Fanta,4113,1
221,1,55.0,5.0,36,Water,1126,0
222,1,52.0,0.0,58,Beerbeer,8167,0
223,0,31.0,4.0,37,Cola,9486,1
224,0,69.0,2.0,66,Beerbeer,5954,1
225,0,48.0,4.0,10,Fanta,3534,0
226,1,10.0,4.0,75,Beerbeer,3274,1
227,0,76.0,5.0,14,Fanta,6094,1
228,1,38.0,2.0,31,Bugbeer,6488,1
229,0,60.0,4.0,57,Fanta,3246,1
230,0,73.0,5.0,16,Water,2410,1
231,0,37.0,5.0,51,Bugbeer,1069,1
232,1,1.0,5.0,56,Cola,8251,1
233,0,29.0,5.0,37,Strong beer,9898,1
234,1,84.0,0.0,63,Fanta,8195,0
235,0,12.0,5.0,26,Water,9141,0
236,1,35.0,2.0,58,Beerbeer,5641,1
237,0,66.0,3.0,73,Water,6879,0
238,0,20.0,1.0,69,Bugbeer,9838,0
239,0,83.0,1.0,46,Strong beer,8715,1
240,0,77.0,2.4767078189300413,12,Fanta,9693,1
241,0,40.0,2.0,17,Water,7171,0
242,0,80.0,4.0,38,Cola,4461,1
243,0,93.0,2.0,52,Strong beer,987,0
244,0,45.0,0.0,76,Cola,3007,0
245,1,16.0,2.4767078189300413,80,Cola,145,1
246,1,44.0,1.0,34,Strong beer,3550,0
247,1,30.0,1.0,18,Water,4365,1
248,1,38.0,0.0,39,Beerbeer,9269,1
249,0,51.0,0.0,18,Fanta,5374,0
250,1,100.0,2.4767078189300413,33,Beerbeer,5011,1
251,1,86.0,2.0,33,Bugbeer,7367,1
252,0,89.0,3.0,22,Strong beer,2920,1
253,0,55.0,4.0,26,Fanta,297,1
254,1,77.0,1.0,16,Water,1407,0
255,0,36.0,2.0,73,Beerbeer,2187,1
256,1,54.0,4.0,71,Beerbeer,2180,1
257,1,98.0,2.0,71,Beerbeer,1720,1
258,1,28.0,0.0,16,Fanta,3886,0
259,0,87.0,2.0,41,Beerbeer,5297,1
260,0,20.0,3.0,25,Cola,7435,1
261,0,76.0,1.0,27,Beerbeer,2388,1
262,1,10.0,3.0,11,Cola,1464,0
263,1,8.0,1.0,50,Bugbeer,3204,1
264,0,71.0,5.0,39,Bugbeer,4098,1
265,0,86.0,3.0,12,Fanta,4393,1
266,0,67.0,2.0,39,Bugbeer,2368,0
267,1,100.0,2.4767078189300413,59,Beerbeer,1586,0
268,1,85.0,3.0,35,Bugbeer,4982,1
269,1,13.0,4.0,27,Water,3170,1
270,0,21.0,0.0,73,Fanta,2325,1
271,0,71.0,2.0,63,Water,9619,1
272,0,89.0,4.0,75,Cola,6167,0
273,1,59.0,3.0,18,Fanta,2481,0
274,0,67.0,0.0,79,Bugbeer,895,0
275,1,83.0,2.4767078189300413,38,Water,4743,0
276,0,86.0,1.0,78,Strong beer,5003,0
277,1,92.0,3.0,22,Beerbeer,6686,1
278,0,18.0,1.0,34,Cola,8125,0
279,0,45.0,3.0,16,Cola,2414,0
280,0,100.0,5.0,53,Water,6820,1
281,1,28.0,0.0,17,Water,125,1
282,1,65.0,4.0,28,Water,3076,1
283,0,81.0,3.0,71,Strong beer,1991,1
284,0,11.0,0.0,16,Cola,6165,1
285,1,72.0,2.4767078189300413,21,Beerbeer,6479,1
286,1,40.0,3.0,63,Fanta,4740,1
287,0,58.0,2.0,52,Cola,874,0
288,1,100.0,5.0,48,Beerbeer,1402,1
289,1,47.0,2.0,32,Strong beer,8381,0
290,1,8.0,2.0,21,Fanta,2033,1
291,1,71.0,3.0,17,Fanta,5323,1
292,1,28.0,3.0,79,Strong beer,67,1
293,0,62.0,3.0,19,Cola,256,1
294,0,98.0,4.0,45,Fanta,6312,0
295,0,48.0,4.0,11,Water,783,1
296,0,98.0,3.0,35,Cola,5143,1
297,1,16.0,3.0,51,Strong beer,8305,1
298,1,47.0,0.0,66,Water,7675,1
299,1,76.0,2.0,10,Water,6595,1
300,1,29.0,4.0,50,Cola,3435,1
301,0,100.0,2.0,52,Beerbeer,463,0
302,1,18.0,0.0,63,Strong beer,8613,0
303,0,11.0,4.0,45,Strong beer,3705,1
304,0,100.0,2.4767078189300413,65,Fanta,4483,1
305,0,2.0,5.0,80,Water,7324,0
306,1,100.0,1.0,65,Bugbeer,3433,0
307,1,54.0,2.4767078189300413,22,Strong beer,5489,0
308,1,21.0,1.0,34,Beerbeer,3806,1
309,0,100.0,4.0,56,Fanta,9055,0
310,1,70.0,2.0,69,Beerbeer,9182,0
311,1,58.0,5.0,15,Fanta,3296,1
312,0,36.0,4.0,75,Strong beer,6627,0
313,0,77.0,4.0,17,Cola,568,1
314,1,80.0,5.0,15,Cola,1391,1
315,0,7.0,2.4767078189300413,69,Cola,4491,1
316,1,47.0,5.0,25,Strong beer,7683,1
317,0,56.0,4.0,38,Fanta,5830,1
318,0,25.0,1.0,62,Water,6111,1
319,0,1.0,4.0,18,Water,1571,0
320,1,100.0,4.0,24,Strong beer,8567,1
321,0,9.0,4.0,56,Bugbeer,1536,1
322,1,75.0,4.0,48,Cola,1245,1
323,0,50.0,2.0,62,Cola,6775,1
324,1,18.0,0.0,13,Water,4404,0
325,1,85.0,4.0,15,Fanta,8165,0
326,0,2.0,2.4767078189300413,33,Water,5990,0
327,0,0.0,3.0,44,Fanta,1436,1
328,0,57.0,2.0,40,Fanta,8726,1
329,0,72.0,4.0,42,Water,7968,0
330,1,24.0,2.0,64,Water,8561,0
331,0,100.0,1.0,57,Water,2965,0
332,0,21.0,3.0,15,Water,7613,1
333,0,100.0,1.0,79,Water,7729,0
334,0,30.0,2.4767078189300413,77,Bugbeer,1893,0
335,0,85.0,4.0,70,Water,4619,0
336,1,1.0,5.0,68,Bugbeer,6676,0
337,1,67.0,4.0,51,Beerbeer,2184,1
338,0,73.0,4.0,51,Beerbeer,103,1
339,0,40.0,5.0,53,Water,4922,0
340,0,11.0,3.0,30,Strong beer,2511,0
341,1,61.0,3.0,75,Cola,3308,1
342,1,88.0,4.0,29,Strong beer,5206,1
343,1,28.0,1.0,38,Beerbeer,9620,0
344,1,43.0,1.0,20,Cola,8583,1
345,1,37.0,5.0,35,Fanta,4736,1
346,0,40.0,2.4767078189300413,37,Water,1731,0
347,1,100.0,5.0,54,Strong beer,3897,1
348,0,100.0,0.0,27,Fanta,4152,0
349,1,78.0,3.0,31,Fanta,3080,0
350,0,49.0,2.4767078189300413,76,Water,6881,1
351,1,72.0,0.0,77,Water,7255,0
352,1,24.0,0.0,50,Bugbeer,1763,0
353,1,25.0,5.0,77,Beerbeer,219,0
354,0,21.0,0.0,25,Fanta,4732,1
355,1,45.0,0.0,78,Beerbeer,9729,1
356,0,44.0,1.0,56,Fanta,8398,0
357,0,21.0,2.0,32,Strong beer,8859,1
358,0,3.0,0.0,66,Beerbeer,8424,0
359,1,96.0,0.0,18,Fanta,8556,1
360,1,83.0,3.0,35,Water,2445,0
361,1,15.0,3.0,73,Water,1474,1
362,1,33.0,1.0,35,Cola,8170,0
363,1,38.0,2.0,26,Strong beer,7095,0
364,1,56.0,4.0,78,Fanta,4836,0
365,0,37.0,5.0,63,Bugbeer,797,0
366,0,50.0,0.0,73,Cola,496,1
367,1,1.0,1.0,36,Fanta,7671,1
368,1,50.0,3.0,61,Fanta,749,1
369,0,1.0,0.0,31,Fanta,241,0
370,1,20.0,4.0,59,Cola,6625,1
371,0,17.0,2.0,27,Cola,1664,1
372,1,9.0,0.0,52,Beerbeer,9545,0
373,0,92.0,4.0,67,Water,2599,0
374,1,0.0,2.4767078189300413,17,Water,2459,0
375,0,54.0,2.0,68,Water,9214,1
376,1,68.0,5.0,27,Water,7012,1
377,0,52.0,4.0,44,Water,5782,1
378,0,16.0,4.0,80,Bugbeer,311,0
379,1,99.0,0.0,77,Water,7032,0
380,1,31.0,2.0,73,Beerbeer,9697,1
381,0,14.0,4.0,22,Water,6777,1
382,0,28.0,5.0,38,Strong beer,531,1
383,1,42.0,1.0,31,Bugbeer,4278,0
384,0,11.0,2.0,63,Strong beer,906,1
385,1,25.0,2.0,43,Bugbeer,1265,0
386,0,45.0,2.0,71,Strong beer,9098,1
387,0,62.0,5.0,47,Bugbeer,8471,1
388,1,19.0,5.0,62,Strong beer,8758,0
389,1,4.0,2.0,79,Cola,9240,0
390,0,15.0,2.0,21,Bugbeer,1673,1
391,0,20.0,2.4767078189300413,80,Fanta,2631,1
392,0,12.0,5.0,66,Fanta,6358,0
393,0,69.0,4.0,15,Fanta,5677,1
394,0,69.0,0.0,59,Strong beer,104,1
395,1,53.0,3.0,20,Fanta,1009,1
396,1,74.0,2.0,77,Strong beer,951,1
397,0,86.0,1.0,30,Water,3513,1
398,0,63.0,4.0,80,Bugbeer,5708,0
399,1,26.0,3.0,72,Beerbeer,1144,1
400,1,100.0,5.0,46,Bugbeer,8796,1
401,1,15.0,0.0,59,Strong beer,1336,1
402,1,16.0,2.0,63,Strong beer,7328,1
403,1,61.0,4.0,42,Fanta,5749,0
404,0,21.0,3.0,77,Beerbeer,6092,1
405,0,32.0,0.0,75,Cola,1759,0
406,0,25.0,4.0,61,Water,8608,0
407,0,15.0,2.4767078189300413,66,Fanta,6370,1
408,0,29.0,4.0,14,Cola,196,0
409,1,100.0,5.0,45,Cola,2972,1
410,0,62.0,2.0,55,Cola,3089,0
411,0,45.0,3.0,21,Water,6983,1
412,0,61.0,5.0,80,Fanta,8694,0
413,1,88.0,5.0,28,Beerbeer,110,1
414,0,56.0,2.0,51,Water,8652,0
415,0,18.0,2.0,49,Cola,781,0
416,1,60.0,2.0,62,Bugbeer,7887,0
417,0,43.0,2.0,37,Fanta,9685,1
418,1,21.0,1.0,11,Cola,9418,0
419,0,46.0,5.0,43,Beerbeer,2790,1
420,0,40.0,3.0,14,Fanta,4197,1
421,1,32.0,4.0,29,Beerbeer,3305,1
422,0,24.0,5.0,24,Strong beer,2233,1
423,1,79.0,5.0,54,Water,2581,0
424,0,93.0,5.0,15,Fanta,8656,1
425,0,78.0,2.0,15,Fanta,1936,1
426,1,34.0,0.0,14,Water,9987,1
427,0,15.0,4.0,77,Fanta,4954,0
428,1,63.0,1.0,11,Cola,189,1
429,0,60.0,4.0,24,Strong beer,6648,1
430,0,76.0,5.0,58,Water,8142,1
431,0,51.0,5.0,16,Water,315,1
432,0,47.0,0.0,54,Bugbeer,1206,1
433,0,77.0,2.0,56,Cola,3225,0
434,0,14.0,5.0,74,Water,831,0
435,1,86.0,5.0,28,Cola,7540,0
436,0,32.0,5.0,34,Strong beer,6610,1
437,0,41.0,1.0,55,Cola,7565,0
438,0,63.0,3.0,68,Bugbeer,752,0
439,0,93.0,2.0,66,Cola,8146,1
440,1,100.0,4.0,60,Bugbeer,9325,1
441,1,68.0,0.0,41,Bugbeer,3942,0
442,0,9.0,4.0,15,Water,3493,1
443,0,98.0,3.0,79,Strong beer,7321,0
444,0,84.0,5.0,15,Water,8360,1
445,0,21.0,3.0,53,Fanta,1238,1
446,1,40.0,4.0,72,Strong beer,7871,1
447,0,100.0,2.0,48,Fanta,999,1
448,1,87.0,1.0,39,Cola,8946,1
449,1,46.0,1.0,21,Cola,8449,1
450,1,0.0,3.0,48,Beerbeer,90,1
451,1,14.0,1.0,13,Cola,1225,1
452,0,46.0,1.0,62,Bugbeer,377,0
453,1,30.0,1.0,66,Water,8412,1
454,1,68.0,0.0,26,Water,8498,0
455,0,28.0,5.0,39,Bugbeer,8217,1
456,1,48.0,1.0,27,Bugbeer,7396,1
457,0,58.0,4.0,50,Beerbeer,368,1
458,0,54.0,1.0,58,Cola,3569,0
459,1,5.0,2.0,71,Beerbeer,7293,1
460,0,38.0,4.0,58,Fanta,5053,1
461,1,52.0,0.0,26,Strong beer,1229,0
462,0,100.0,0.0,36,Cola,4481,1
463,0,51.0,4.0,53,Beerbeer,2266,1
464,0,62.0,2.0,70,Strong beer,2146,1
465,0,46.0,1.0,14,Water,1343,1
466,0,42.0,0.0,30,Strong beer,4804,0
467,1,58.0,5.0,80,Beerbeer,6902,0
468,0,100.0,0.0,49,Bugbeer,3340,1
469,0,15.0,4.0,23,Cola,9819,1
470,1,25.0,1.0,27,Beerbeer,6599,1
471,1,100.0,4.0,35,Fanta,5057,0
472,1,100.0,4.0,27,Strong beer,6888,1
473,1,100.0,5.0,77,Fanta,4950,0
474,1,86.0,1.0,15,Water,4894,0
475,0,71.0,2.0,49,Strong beer,4253,1
476,1,29.0,5.0,73,Fanta,1628,1
477,0,45.0,4.0,71,Strong beer,9464,0
478,1,28.0,1.0,47,Fanta,3078,0
479,1,87.0,4.0,16,Fanta,7175,1
480,0,97.0,2.0,51,Beerbeer,2215,0
481,0,49.0,5.0,49,Bugbeer,417,1
482,1,47.0,2.4767078189300413,41,Cola,945,0
483,1,81.0,2.4767078189300413,27,Strong beer,5207,1
484,1,20.0,1.0,54,Cola,1736,1
485,1,78.0,0.0,44,Strong beer,9304,1
486,1,19.0,1.0,38,Cola,5321,1
487,1,9.0,2.4767078189300413,12,Fanta,9509,0
488,1,23.0,0.0,66,Water,7237,1
489,1,39.0,3.0,68,Cola,4561,0
490,1,10.0,4.0,64,Strong beer,1107,1
491,1,62.0,4.0,57,Strong beer,2397,1
492,1,35.0,2.0,41,Beerbeer,6667,0
493,1,41.0,1.0,38,Fanta,549,0
494,1,41.0,5.0,19,Fanta,9271,1
495,1,35.0,0.0,59,Strong beer,4782,1
496,0,41.0,2.0,15,Cola,2105,0
497,1,8.0,5.0,53,Strong beer,3526,0
498,1,39.0,2.0,66,Fanta,6188,0
499,1,100.0,1.0,69,Bugbeer,5899,0
500,1,100.0,0.0,51,Fanta,9583,0
501,0,35.0,0.0,80,Cola,8722,1
502,1,19.0,5.0,12,Water,4773,1
503,0,46.0,3.0,53,Water,8216,1
504,1,0.0,4.0,29,Water,5915,1
505,0,41.0,2.0,78,Cola,8802,1
506,1,25.0,2.0,56,Bugbeer,215,1
507,1,100.0,3.0,19,Fanta,1788,0
508,0,92.0,5.0,41,Bugbeer,1119,1
509,1,14.0,2.0,20,Water,2766,0
510,0,96.0,2.4767078189300413,61,Fanta,2507,0
511,1,25.0,1.0,45,Cola,3997,1
512,1,17.0,4.0,42,Beerbeer,735,1
513,0,61.0,1.0,16,Cola,3483,1
514,1,73.0,2.0,59,Water,7042,0
515,0,9.0,0.0,43,Water,8245,1
516,1,79.0,0.0,28,Bugbeer,2971,0
517,1,76.0,4.0,77,Fanta,1106,1
518,0,84.0,5.0,59,Water,292,1
519,1,42.0,3.0,10,Cola,6808,1
520,1,95.0,2.0,17,Water,6700,1
521,1,45.0,0.0,12,Water,8314,0
522,1,75.0,2.4767078189300413,13,Cola,4230,0
523,0,5.0,0.0,35,Water,2841,0
524,1,43.0,4.0,31,Water,3586,0
525,0,79.0,3.0,34,Beerbeer,101,1
526,1,57.0,2.0,36,Fanta,7189,0
527,1,1.0,1.0,17,Cola,2579,1
528,1,45.0,2.0,18,Fanta,7273,0
529,1,65.0,4.0,34,Water,1358,1
530,0,68.0,0.0,16,Water,1949,1
531,1,61.0,0.0,35,Cola,3094,0
532,1,39.0,1.0,77,Beerbeer,558,0
533,0,98.0,1.0,36,Strong beer,1212,0
534,1,4.0,5.0,65,Cola,2856,0
535,1,6.0,0.0,55,Strong beer,7642,1
536,1,33.0,3.0,61,Bugbeer,526,1
537,1,87.0,1.0,29,Cola,1440,1
538,1,100.0,2.0,42,Strong beer,9690,1
539,1,33.0,2.4767078189300413,47,Beerbeer,3563,0
540,0,50.0,1.0,35,Cola,4258,1
541,1,95.0,3.0,49,Water,4335,1
542,0,53.0,0.0,75,Fanta,1354,0
543,0,64.0,4.0,68,Bugbeer,8153,0
544,1,35.0,3.0,75,Strong beer,1475,1
545,1,56.0,4.0,34,Bugbeer,9438,1
546,1,49.0,0.0,32,Bugbeer,8228,1
547,0,31.0,1.0,30,Cola,2903,1
548,0,100.0,5.0,75,Fanta,2475,1
549,1,4.0,5.0,59,Bugbeer,7582,0
550,0,58.0,2.0,54,Bugbeer,5503,1
551,1,68.0,2.4767078189300413,51,Water,5316,1
552,1,6.0,2.0,33,Cola,6752,0
553,1,6.0,0.0,20,Fanta,7710,1
554,0,100.0,0.0,29,Bugbeer,4979,1
555,0,47.0,3.0,74,Water,280,1
556,1,32.0,2.0,25,Cola,2169,1
557,0,47.0,1.0,18,Fanta,9348,1
558,1,5.0,0.0,42,Fanta,9560,0
559,1,56.0,2.0,14,Fanta,1748,1
560,1,40.0,0.0,73,Strong beer,1171,1
561,1,47.0,3.0,22,Strong beer,784,1
562,1,12.0,3.0,45,Bugbeer,3038,0
563,0,63.0,4.0,36,Cola,9883,1
564,1,36.0,2.4767078189300413,19,Cola,4548,1
565,0,34.0,2.4767078189300413,29,Strong beer,8076,1
566,0,9.0,2.0,73,Water,5916,1
567,1,12.0,0.0,70,Bugbeer,6542,1
568,0,31.0,4.0,11,Water,5575,1
569,0,79.0,4.0,14,Cola,6945,1
570,1,80.0,2.0,46,Bugbeer,2679,0
571,1,9.0,1.0,25,Strong beer,5208,0
572,1,0.0,1.0,19,Water,5512,1
